libdbusmenu-gtk3 16.04.0-5.1
libdc1394 2.2.6-2.1
libdca 0.0.7-1.1
libde265 1.0.11-2.1
libdecor 0.1.1-2.1
libdispatch 5.5.0-1.1
libdrm 2.4.115-1.1
libdv 1.0.0-10.1
libdvdcss 1.4.3-1.1
libdvdnav 6.1.1-1.1
libdvdread 6.1.3-1.1
libe-book 0.1.3-13.1
libedit 20221030_3.1-1.1
libelf 0.189-1
libepoxy 1.5.10-1.1
libepubgen 0.1.1-4.1
libetonyek 0.1.10-3.1
libev 4.33-2.1
libevdev 1.13.0-1.1
libevent 2.1.12-4.1
libexif 0.6.24-1.1
libexttextcat 3.4.6-1.1
libfdk-aac 2.0.2-1.1
libffi 3.4.4-1.1
libfm 1.3.2-1.1
libfm-extra 1.3.2-1.1
libfm-gtk3 1.3.2-1.1
libfontenc 1.1.7-1.1
libfreeaptx 0.1.1-1.1
libfreehand 0.1.2-4.1
libgcrypt 1.10.1-2.1
libgexiv2 0.14.0-3.1
libgirepository 1.76.1-1.1
libgit2 1:1.5.1-2.1
libglvnd 1.6.0-1.1
libgme 0.6.3-2.1
libgnomekbd 1:3.28.1-1.1
libgpg-error 1.46-2.1
libgphoto2 2.5.30-2.1
libgsf 1.14.50-1.1
libgudev 237-2.1
libhandy 1.8.2-1.1
libheif 1.15.1-1.1
libical 3.0.16-4.1
libice 1.1.1-2.1
libid3tag 0.15.1b-12.1
libidn 1.41-1.1
libidn2 2.3.4-3.1
libiec61883 1.2.0-7.1
libieee1284 0.2.11-14.1
libimagequant 4.1.1-1
libimobiledevice 1.3.0-6.1
libindicator-gtk3 12.10.1-10.1
libinih 56-1.1
libinput 1.22.1-1.1
libinstpatch 1.1.6-2.1
libisl 0.25-1.1
libixion 0.17.0-5
libjpeg-turbo 2.1.5.1-1.1
libjxl 0.8.1-1
libkate 0.4.1-9.1
libkeybinder3 0.3.2-4.1
libksba 1.6.3-1.1
liblangtag 0.6.4-1.1
liblc3 1.0.2-1.1
libldac 2.0.2.3-1.1
libldap 2.6.4-1.1
liblqr 0.4.2-3.1
liblrdf 0.6.1-4.1
libltc 1.3.2-1.1
libmad 0.15.1b-10.1
libmalcontent 0.11.1-1.1
libmaxminddb 1.7.1-1.1
libmbim 1.28.4-1.1
libmd 1.0.4-1.1
libmediainfo 22.12-1.1
libmfx 23.1.3-2
libmicrodns 0.2.0-1.1
libmm-glib 1.20.6-1.1
libmms 0.6.4-3.1
libmng 2.0.3-3.1
libmnl 1.0.5-1.1
libmodplug 0.8.9.0-5.1
libmpc 1.3.1-1.1
libmpcdec 1:0.1+r475-3.1
libmpeg2 0.5.1-7.1
libmspub 0.1.4-13.1
libmtp 1.1.20-1.1
libmwaw 0.3.21-3.1
libmysofa 1.3.1-2.1
libndp 1.8-1.1
libnetfilter_conntrack 1.0.9-1.1
libnewt 0.52.23-1.1
libnfnetlink 1.0.2-1.1
libnfs 5.0.2-1.1
libnftnl 1.2.5-1.1
libnghttp2 1.52.0-1.1
libnice 0.1.21-1.1
libnl 3.7.0-3.1
libnm 1.42.4-2
libnma 1.10.6-1.1
libnma-common 1.10.6-1.1
libnotify 0.8.2-1.1
libnsl 2.0.0-2.1
libnumbertext 1.0.11-1.1
libodfgen 0.1.8-2.1
libogg 1.3.5-1.1
libomxil-bellagio 0.9.3-4.1
libopenmpt 0.6.9-2.1
libopenraw 0.3.4-1.1
liborcus 0.17.2-5
libp11-kit 0.24.1-1.1
libpagemaker 0.0.4-3.1
libpaper 2.0.10-2.1
libpcap 1.10.3-1.1
libpciaccess 0.17-1.1
libpeas 1.34.0-1.1
libpgm 5.3.128-2.1
libpipeline 1.5.7-1.1
libpipewire 1:0.3.67-1.1
libplacebo 5.229.2-2.1
